ClassName.Method,OperatorsInserted,FoundByTool,Difference,TypeOfDiffernce
In file,TimeRangeTest.java
In file,EditTime.java
EditTime.<init>,1,0,1,non_negative
EditTime.onCreate,4,0,4,non_negative
EditTime.onResume,5,0,5,non_negative
EditTime.onClick,3,0,3,non_negative
EditTime.onCreateDialog,1,0,1,non_negative
In file,ActivityTimes.java
ActivityTimes.<init>,1,0,1,non_negative
ActivityTimes.onCreate,6,0,6,non_negative
ActivityTimes.onStop,1,0,1,non_negative
ActivityTimes.onResume,1,0,1,non_negative
ActivityTimes.onCreateOptionsMenu,1,0,1,non_negative
ActivityTimes.onOptionsItemSelected,2,0,2,non_negative
ActivityTimes.onCreateContextMenu,1,0,1,non_negative
ActivityTimes.onContextItemSelected,1,0,1,non_negative
ActivityTimes.onClick,1,0,1,non_negative
ActivityTimes.onCreateDialog,1,0,1,non_negative
TimesAdapter.<init>,1,0,1,non_negative
TimesAdapter.TimesAdapter,1,0,1,non_negative
TimesAdapter.areAllItemsEnabled,1,0,1,non_negative
TimesAdapter.isEnabled,1,0,1,non_negative
TimesAdapter.close,1,0,1,non_negative
TimesAdapter.deleteTimeRange,5,0,5,non_negative
TimesAdapter.loadTimes,5,0,5,non_negative
TimesAdapter.getView,7,0,7,non_negative
TimesAdapter.getCount,1,0,1,non_negative
TimesAdapter.getItem,1,0,1,non_negative
TimesAdapter.getItemId,1,0,1,non_negative
TimesAdapter.assignTimeToActivityAt,7,0,7,non_negative
TimeView.<init>,1,0,1,non_negative
TimeView.TimeView,1,0,1,non_negative
TimeView.setTimeRange,1,0,1,non_negative
TimesAdapter.clear,1,0,1,non_negative
TimesAdapter.addTimeRange,1,0,1,non_negative
TimesAdapter.insert,6,0,6,non_negative
TimesAdapter.startOfDay,1,0,1,non_negative
TimesAdapter.addSeparators,3,0,3,non_negative
TimesAdapter.updateTimeRange,5,0,5,non_negative
TimesAdapter.getActivityNames,1,0,1,non_negative
ActivityTimes.onActivityResult,2,0,2,non_negative
ActivityTimes.onListItemClick,2,0,2,non_negative
